aaaammdd,id_empenho,codigo_empenho,codigo_empenho_resumido,data_emissao,codigo_tipo_documento,tipo_documento,tipo_empenho,especie_empenho,codigo_orgao_superior,orgao_superior,codigo_orgao,orgao,codigo_unidade_gestora,unidade_gestora,codigo_gestao,gestao,codigo_favorecido,favorecido,observacao,codigo_esfera_orcamentaria,esfera_orcamentaria,codigo_tipo_credito,tipo_credito,codigo_grupo_fonte_recurso,grupo_fonte_recurso,codigo_fonte_recurso,fonte_recurso,codigo_unidade_orcamentaria,unidade_orcamentaria,codigo_funcao,funcao,codigo_sub_funcao,sub_funcao,codigo_programa,programa,codigo_acao,acao,linguagem_cidada,codigo_subtitulo_localizador,subtitulo_localizador,codigo_plano_orcamentario,plano_orcamentario,codigo_programa_governo,nome_programa_governo,autor_emenda,codigo_categoria_de_despesa,categoria_de_despesa,codigo_grupo_de_despesa,grupo_de_despesa,codigo_modalidade_de_aplicacao,modalidade_de_aplicacao,codigo_elemento_de_despesa,elemento_de_despesa,processo,modalidade_de_licitacao,inciso,amparo,referencia_de_dispensa_ou_inexigibilidade,codigo_convenio,contrato_de_repasse_termo_de_parceria_outros,valor_original_do_empenho,valor_do_empenho_convertido_pra_r,valor_utilizado_na_conversao
20190109,64402270,257052000012019NE000001,2019NE000001,2019-01-09,NE,Nota de Empenho,Global,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,ATENDER DESPESA COM PAGAMENTO DE DIARIA DE SERVIDOR.,2,Orçamento da Seguridade Social,A,INICIAL (LOA),-3,Inválido,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,423,Assistência aos povos indígenas,2065,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,20YP,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA",,20YP0001,"PROMOCAO, PROTECAO E RECUPERACAO DA S - NACIONAL",0000,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS",00,NAO ATRIBUIDO,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,14,Diárias - Civil,-8,Não se Aplica,-8,SI,SEM INFORMACAO,-1,SEM INFORMACAO,24723,24723,1
20190116,67902618,257052000012019NE800029,2019NE800029,2019-01-16,NE,Nota de Empenho,Global,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,03557787000185,J. CASTRO EDA EIRELI,ATENDER DESPESA COM PAGAMENTO DE LIMPEZA DE FOSSAS SEPTICAS DA CASAI.  PROC ORIGEM: 2015PR00016,2,Orçamento da Seguridade Social,A,INICIAL (LOA),1,Recursos do Tesouro - Exercício Corrente,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,511,Saneamento básico rural,2065,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,7684,SANEAMENTO BASICO EM ALDEIAS INDIGENAS PARA PREVENCAO DE DOENCAS E AGRAVOS,Saneamento em Aldeias Indígenas,76840001,SANEAMENTO BASICO EM ALDEIAS INDIGENA - NACIONAL,0000,SANEAMENTO BASICO EM ALDEIAS INDIGENAS PARA PREVENCAO E CONTROLE DE AGRAVOS - DESPESAS DIVERSAS,00,NAO ATRIBUIDO,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,39,Outros Serviços de Terceiros - Pessoa Jurídic,250650008052015,Pregão,-8,LEI10520,ART01    LEI10520/02,-1,SEM INFORMACAO,5638.4,5638.4,1
20190116,66402655,257052000012019NE000002,2019NE000002,2019-01-16,NE,Nota de Empenho,Estimativo,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,"ATENDER DESPESA COM PAGAMENTO DE AJUDA DE CUSTO E AUXILIO MORADIA DO PROGRAMA MAIS MEDICOS PARA ANANDA DOS SANTOS CONDE,LUIZ OTAVIO DE ARAUJO BASTOS, YURI  ZAGO SOUSA SANTANA DE PAULA, MATEUS NAVES GONCALVES, RODRIGO PEREIRA PIO, BRUN",2,Orçamento da Seguridade Social,A,INICIAL (LOA),1,Recursos do Tesouro - Exercício Corrente,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,301,Atenção básica,2015,FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS),214U,IMPLEMENTACAO DO PROGRAMA MAIS MEDICOS,,214U0001,IMPLEMENTACAO DO PROGRAMA MAIS MEDICO - NACIONAL,000A,PROGRAMA MAIS MEDICOS (PROVIMENTO),35,MAIS MEDICOS,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,48,Outros Auxílios Financeiros a Pessoas Físicas,-8,Não se Aplica,-8,SI,SEM INFORMACAO,-1,SEM INFORMACAO,19250,19250,1
20190116,70002631,257052000012019NE800005,2019NE800005,2019-01-16,NE,Nota de Empenho,Global,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,02692187000167,UNION SECURITY SERVICOS DE SEGURANCA E TRANSPORTE DE VA,ATENDER DESPESA COM PAGAMENO DE PRESTACAO DE SERVICO DE VIGILANCIA NA SEDE E CASAI.  PROC ORIGEM: 2017PR00018,2,Orçamento da Seguridade Social,A,INICIAL (LOA),1,Recursos do Tesouro - Exercício Corrente,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,423,Assistência aos povos indígenas,2065,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,20YP,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA",,20YP0001,"PROMOCAO, PROTECAO E RECUPERACAO DA S - NACIONAL",0000,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS",00,NAO ATRIBUIDO,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,37,Locação de Mão-de-Obra,25064001593201764,Pregão,-8,LEI10520,ART01    LEI10520/02,-1,SEM INFORMACAO,56523.96,56523.96,1
20190116,66702625,257052000012019NE800010,2019NE800010,2019-01-16,NE,Nota de Empenho,Estimativo,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,02341470000144,RORAIMA ENERGIA S.A,ATENDER DESPESA COM PAGAMENTO DE TAXA DE ILUMINACAO.  PROC ORIGEM: 2018DI00002,2,Orçamento da Seguridade Social,A,INICIAL (LOA),1,Recursos do Tesouro - Exercício Corrente,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,423,Assistência aos povos indígenas,2065,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,20YP,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA",,20YP0001,"PROMOCAO, PROTECAO E RECUPERACAO DA S - NACIONAL",0000,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS",00,NAO ATRIBUIDO,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,47,Obrigações Tributárias e Contributivas,25064000022201893,Dispensa de Licitação,22,LEI8666,ART24/22 LEI8666/93,-1,SEM INFORMACAO,125,125,1
20190116,65602668,257052000012019NE800024,2019NE800024,2019-01-16,NE,Nota de Empenho,Global,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,14414460000170,AGUIA PROJETOS E SERVICOS EIRELI,ATENDER DESPESA COM PAGAMENTO COM FORNECIMENTO DE MATERIAL PARA MANUTENCAO PREDIAL.  PROC ORIGEM: 2016PR00009,2,Orçamento da Seguridade Social,A,INICIAL (LOA),1,Recursos do Tesouro - Exercício Corrente,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,423,Assistência aos povos indígenas,2065,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,20YP,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA",,20YP0001,"PROMOCAO, PROTECAO E RECUPERACAO DA S - NACIONAL",0003,ESTRUTURACAO DE UNIDADES DE SAUDE E DSEI PARA ATENDIMENTO A POPULACAO INDIGENA,00,NAO ATRIBUIDO,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,30,Material de Consumo,25064001416201516,Pregão,-8,LEI10520,ART01    LEI10520/02,-1,SEM INFORMACAO,24262.5,24262.5,1
20190116,63502695,257052000012019NE800028,2019NE800028,2019-01-16,NE,Nota de Empenho,Global,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,14414460000170,AGUIA PROJETOS E SERVICOS EIRELI,ATENDER DESPESA COM PAGAMENTO COM PRESTACAO DE SERVICO DE MANUTENCAO PREDIAL.  PROC ORIGEM: 2016PR00009,2,Orçamento da Seguridade Social,A,INICIAL (LOA),1,Recursos do Tesouro - Exercício Corrente,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,423,Assistência aos povos indígenas,2065,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,20YP,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA",,20YP0001,"PROMOCAO, PROTECAO E RECUPERACAO DA S - NACIONAL",0003,ESTRUTURACAO DE UNIDADES DE SAUDE E DSEI PARA ATENDIMENTO A POPULACAO INDIGENA,00,NAO ATRIBUIDO,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,39,Outros Serviços de Terceiros - Pessoa Jurídic,25064001416201516,Pregão,-8,LEI10520,ART01    LEI10520/02,-1,SEM INFORMACAO,15359.14,15359.14,1
20190116,66702671,257052000012019NE800023,2019NE800023,2019-01-16,NE,Nota de Empenho,Global,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,03557787000185,J. CASTRO EDA EIRELI,ATENDER DESPESA COM PAGAMENTO DE PRESTACAO DE SERVICO DE LIMPEZA DE FOSSA DA  CASAI.  PROC ORIGEM: 2015PR00016,2,Orçamento da Seguridade Social,A,INICIAL (LOA),1,Recursos do Tesouro - Exercício Corrente,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,423,Assistência aos povos indígenas,2065,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,20YP,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA",,20YP0001,"PROMOCAO, PROTECAO E RECUPERACAO DA S - NACIONAL",0000,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS",00,NAO ATRIBUIDO,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,39,Outros Serviços de Terceiros - Pessoa Jurídic,250650008052015,Pregão,-8,LEI10520,ART01    LEI10520/02,-1,SEM INFORMACAO,5638.4,5638.4,1
20190116,67102588,257052000012019NE800022,2019NE800022,2019-01-16,NE,Nota de Empenho,Global,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,14123573000117,C. H. CORREIA,ATENDER DESPESA COM PAGAMENTO COM FORNECIMENTO DE PECAS PARA MANUTENCAO PREVENTIVA E CORRETIVA DE MOTOSSERRA.  PROC ORIGEM: 2015PR00015,2,Orçamento da Seguridade Social,A,INICIAL (LOA),1,Recursos do Tesouro - Exercício Corrente,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,423,Assistência aos povos indígenas,2065,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,20YP,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA",,20YP0001,"PROMOCAO, PROTECAO E RECUPERACAO DA S - NACIONAL",0000,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS",00,NAO ATRIBUIDO,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,30,Material de Consumo,25064.00080320153,Pregão,-8,LEI10520,ART01    LEI10520/02,-1,SEM INFORMACAO,17625,17625,1
20190116,64102680,257052000012019NE800020,2019NE800020,2019-01-16,NE,Nota de Empenho,Global,ORIGINAL,36000,Ministério da Saúde,36000,Ministério da Saúde - Unidades com vínculo di,257052,DISTRITO SANIT.ESP.INDIGENA - YANOMAMI,00001,TESOURO NACIONAL,14123573000117,C. H. CORREIA,ATENDER DESPESA COM PAGAMNETO DE FORNECIMENTO DE PECAS PARA MANUTENCAO PREVENTIVA E CORRETIVA DE ELETRODOMESTICO.  PROC ORIGEM: 2015PR00008,2,Orçamento da Seguridade Social,A,INICIAL (LOA),1,Recursos do Tesouro - Exercício Corrente,51,CONTR.SOCIAL S/O LUCRO DAS PESSOAS JURIDICAS,36901,FUNDO NACIONAL DE SAUDE,10,Saúde,423,Assistência aos povos indígenas,2065,PROTECAO E PROMOCAO DOS DIREITOS DOS POVOS INDIGENAS,20YP,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA",,20YP0001,"PROMOCAO, PROTECAO E RECUPERACAO DA S - NACIONAL",0000,"PROMOCAO, PROTECAO E RECUPERACAO DA SAUDE INDIGENA - DESPESAS DIVERSAS",00,NAO ATRIBUIDO,SEM EMENDA,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,90,Reserva de Contingência,30,Material de Consumo,25064000374201504,Pregão,-8,LEI10520,ART01    LEI10520/02,-1,SEM INFORMACAO,15000,15000,1
